TWEET,RELEVANT,
RT @vicenews: The Chicago Police Department and FBI say they are going to review the unsolved killings of more than 50 women to see if theyâ€_,1,?
RT @MariaKardakova: Just finished wonderful @AfN_UK_ and @BDA_Dietitians accredited CPD training course (Recipe Analysis Maximising Accuracâ€_,0,
"We're inspired by @LouHayesJr, an exemplary police officer in suburban Chicago, for his wisdom when it comes to plaâ€_ https://t.co/WIMOVuQ8sh",1,
Bet anything he / they are CPD h1ttps://t.co/yC832NYxDR,1,
RT @TheFinalCall: Editorial: Trapping Ms. Foxx? Moves are underway to take power from Black state's attorney's hands with an election lessâ€_,0,
RT @vlazlo2020: A very important point lost by most commentators yesterday. https://t.co/FhOm7jfqLq,0,
RT @CIPR_UK: We've published two brand new new webinars on Artificial Intelligence worth 5 CPD points each. Find out more: https://t.co/Xq4â€_,0,
RT @nbcchicago: Man arrested after shooting at cop car on NW Side: Police https://t.co/7lmLowglP7 https://t.co/gYf3AKxaa6,0,
@Mathgarden @drewfoster0 @cbrownLmath @RJS2212 @MathsMrCox @berniewestacott @MrMattock @mrcarne @La_zar_usâ€_ https://t.co/bBfYmLCdOQ,0,
"@GabbySidibe Will Lee Daniels start treating Jussie fairly, &amp; add him back to the 2 or 3 episodes he's cut from? IMâ€_ https://t.co/7hTgoVAAHp",0,
RT @NersaBackstrom: Chicago got all this money to police black teenagers but not enough to educate them huh,1,
"@RichardBravo @marklutchman Those that deserved a second chance, must admit of wrongdoing and paid some kind of conâ€_ https://t.co/nrXiQ5P92H",0,
"RT @Strickomaster: School improvement in a simple tweet- Sort behaviour - Invest in staff CPD- Build relationships- Sort your curriculuâ€_",0,
RT @azi_musa: Exciting opportunity for primary school teachers. Attend @Brainiacs_Ng 1-day robotics training for teachers and learn how toâ€_,0,
RT @shestokas: #KimFoxx has made a mess of the Cook County state's attorney's office from @chicagotribune and it's not just #Smollett.  @foâ€_,0,
"@lstak1967 Here another good one, one of the kids just so happened to wearing a BULLET PROOF jacket the day of theâ€_ https://t.co/GKLrtlzxef",1,
RT @ChicagoCAPS03: Recovered from an arrestee in the 1100 block of 72nd street by the tactical team. https://t.co/5UagfZ4uIk,1,
"""Was CPD invited to this?""#ShitEMSSays #ChicagoScanner",0,
"RT @HLAlibrary: Register for our next CPD Roundtable Session ""Preparing for a Law Society Practice Management Review/Audit "" scheduled forâ€_",0,
RT @eastlancsTSA: CPD opportunity: â€˜Effective E-Learning Office 365â€™ on Tuesday 30th April 2019 at Ribblesdale High School starting 4.15pm.â€_,0,
"RT @themirifique: Outrageous self-indulgent #xehaqus AU : ProhibitionAU. Eraqus the incorruptible cop chasing one of the shiny capo of theâ€_",0,
"RT @JamilSmith: I spoke to @ava about putting her executive-producing power behind THE RED LINE, a searing new CBS limited series that examâ€_",0,
"RT @larryelder: ""Hundreds Of Teens Run Through Downtown Chicago, Fighting And Disobeying Police""Dear #BlacksLivesMatter,Thoughts?httpâ€_",0,
RT @RaferWeigel: Confirmed by @Chicago_Police a conceal and carry permit holder fatally shoots a carjacker attempting to steal his car on Câ€_,0,
"Mr President, you told me to be here, as a matter of fact you made me cancel my appointment to see an eye specialisâ€_ https://t.co/RRcqx4yeLw",0,
Chicago (IL) Sun-Times: Evanston police warn residents of arrest warrant phone scam. More #Chicago #news - https://t.co/aC65uW8cEQ,0,
"RT @The06Gentleman: Bruh , We from Chicago. Every element of the City been Racketeering &amp; Conspiring against us from Day 1: From the schoolâ€_",0,
"Social media, spring break and more than 30 arrests renewed the spotlight on how Chicago police officers respond toâ€_ https://t.co/BfylTDz79O",1,
"@IAmEricRoman @NYPD113Pct @NYPDnews @McDonalds @LAPDHQ @Chicago_Police @DCPoliceDept Eric, FYI, I found out that whâ€_ https://t.co/vNwvQNTImG",0,
"RT @Martin_CSH: Grangemouth CPD OpportunitiesThere is still time to book on to the CPD courses available through Grangemouth Community Spâ€_",0,
Update your knowledge of Canine Lymphoma - discounted rate for previous 6-26 May 2019. Only 129 + VAT. Book Today!!â€_ https://t.co/tzutEu3z3r,0,
RT @MitchMcDerm: Progression and development are key components of the MMCD ethos. Thanks to Jeff for hosting the latest CPD lecture on Insâ€_,0,
@shiv_smith @DionneDaniel5 @The_Pars @natsloub @swayoung01 @Mdolan01Dolan @SamSpence01 @RCNStudents @bjgwâ€_ https://t.co/HcMVy2M3Eu,0,
Man accused of trying to run over @Elmhurst_Police officer during traffic stop arrest sentenced to three years in pâ€_ https://t.co/k1SI4Opbig,1,?
"RT @ColorOfChange: Police are trying to force Kim Foxx, Chicago's first Black Woman State's Attorney, to resign b/c of her commitment to deâ€_",0,
"RT @soit_goes: Joshua Beal was a father of two that was murdered by Chicago Police in 2016.His mother is asking for our help to put a heaâ€_",1,
RT @EarlyYearsWendy: @EarlyYearsWendy have you signed up to the Early Years Summit with @kathybrodie all FREE CPD. https://t.co/zCklxZCNnS,0,
@CookCountySAO RACIST FBI SOLICITED GANGS TO WORK W/CHICAGO/EVERGREEN PK POLICE IN HARASSMENT SETUPS &amp; POISONINGS Tâ€_ https://t.co/MDScvYQq9H,0,
"Doing a story, alas, on police suicides, they found an old photo of my grandfather, Sgt Lyons CPD, Shakespeare Distâ€_ https://t.co/a5K78CQrJ9",1,
RT @farmpostmortems: Want to know more about post mortem examination and pathogenesis of disease in livestock? Come along to our CPD day inâ€_,0,
RT @cpdme: It's Webinar Wednesday! We have an excellent #CPD session for you this evening on Paediatric Myth Busting (Part 2) with @NWAmb_Pâ€_,0,
"RT @RollingStone: Why Ava DuVernay put her producing power behind #TheRedLine, CBSâ€™ new drama about a police shooting in Chicago https://t.â€_",0,
RT @IABinfo: Join @BkprsAlliance for their annual conference of bookkeepers. 10 June is another chance to keep up to date with changes in tâ€_,0,
"RT @APCentralRegion: Police say there is no evidence that missing 5-year-old Andrew ""AJ"" Freund was abducted from his suburban Chicago homeâ€_",0,
Still some vacancies available on our Performing 12 Lead-ECG course at Leeds Beckett University Â£100 per person seeâ€_ https://t.co/oeqf9pTMDz,0,
!!VIEW FRAUD IN NORTHERN IL DIST COURT 13CV2621 LAWSUIT COMPLAINT DOC 28 IN COMPARISON TO JUDGE'S ORDER DOC 48. CHIâ€_ https://t.co/cX2DSABa65,0,
"Hundreds Of Teens Run Through Downtown Chicago, Fighting And Disobeying Police  https://t.co/97UO6VJ4Lz",1,
@SIGA_USA full day 8 #cpd point academy has started! The sold out group is learning about #airtight construction anâ€_ https://t.co/NfOOUOfMsD,0,
"RT @seanhannity: WATCH: â€œChicago police were dealing with hundreds of teens running through downtown Chicago Wednesday night, yelling, stopâ€_",0,
"THAT'S CPD ON THE JOB.... SERVING PROTECTING AND DELIVERING BABIES!!!!! OUR CHICAGO FINEST DOES IT ALL!GO CPDâ€_ https://t.co/5CqGtDC87W",1,
"Over the past decade, the city of Chicago has spent more than $25 million on 62 police chase crashes, according toâ€_ https://t.co/kGUlH4d0Vr",1,
"""This book is CPD, itâ€™s a resource bank, itâ€™s refreshing and itâ€™s fantastic."" Well done @VocabularyNinja! https://t.co/ypgku0viiU",0,
@angela214 @johncardillo @AngelGotti5 Google the Cabrini Houses in Chicago. Theyâ€™re now gone but I got lost in theiâ€_ https://t.co/ZTSZUuvFmX,0,
"RT @NAACP_LDF: Reporters from USA TODAY, its 100-plus affiliated newsrooms and the nonprofit Invisible Institute in Chicago have spent moreâ€_",0,
RT @NCETM: Teachers in secondary school maths departments! Funded CPD to start introducing teaching for mastery. Places available with everâ€_,0,
RT @cbschicago: A group Chicago police officers is asking for Cook County Stateâ€™s Attorney Kim Foxx to be removed from the prosecution of aâ€_,0,
"RT @KingTrillaX: Welcome to Chicago where if we donâ€™t kill each other, the police gone happily do it. https://t.co/CbaEpV81zx",1,
RT @cbschicago: River Forest Police Say Stateâ€™s Attorneyâ€™s Office Too Lenient After Habitual Offender Released On Bond Allegedly RobsÂ Womanâ€_,0,
"RT @KingTrillaX: Welcome to Chicago where if we donâ€™t kill each other, the police gone happily do it. https://t.co/CbaEpV81zx",1,
RT @JonoSays: @StockportCounty Be great to have a proper club like Stockport back in the National league if we donâ€™t go up ourselves,0,
"RT @Strickomaster: School improvement in a simple tweet- Sort behaviour - Invest in staff CPD- Build relationships- Sort your curriculuâ€_",0,
This is the type of CPD I am in favor of. No edu guru stuff. No over the top edu product sales. Thought provoking sâ€_ https://t.co/fJJkcsOFp8,0,
"RT @Croner_i: Sharpen your professional skills at the Update for the #Accountant in Industry &amp; Commerce â€“ Windsor, 14-15 May, 14 #CPD pointâ€_",0,
RT @theartcriminal: BOOK PLACES NOW. @NSEAD1 important highly successful inset day WHERE HAVE ALL THE BOYS GONE? addressing issues of disenâ€_,0,
"RT @khgalea: Opportunity to join our amazing team. Be warned... Itâ€™s FULL ON and HUGELY time-consuming, the exam load is hefty and itâ€™s aâ€_",0,
"RT @KingTrillaX: Welcome to Chicago where if we donâ€™t kill each other, the police gone happily do it. https://t.co/CbaEpV81zx",1,
"https://t.co/iguFZ1VQJAThe Fundamental Surgery platform combines virtual reality (VR) with cutting-edge haptics toâ€_ https://t.co/IScejYQTFO",0,
"RT @CWBChicago: Here, Kim Foxx senior advisor Robert Foley calls Chicago police detectives ""the worst"" and falsely accuses them of leakingâ€_",0,
"RT @ACPF_Irlande: [Teachers] A few places still available for this CPD workshop on oral communication in the #French classroom, tomorrow inâ€_",0,
"RT @SandraTXAS: The Chicago Police Department found more evidence in two weeks #JussieSmollettThan Robert Mueller found in over 2 years..â€_",1,
"@TMZ And furthermore, if #JussieSmollett didn't want to report the attack to the @Chicago_Police, then WHY was Jussâ€_ https://t.co/MTZMQRpOsX",0,?
"A group of Police Chiefs from Arlington, Beverly, Cambridge, Chelsea, Everett, Malden, Medford, Methuen, Salem andâ€_ https://t.co/mDv7GhprW5",0,
Chicago police release video amid concerns about officer suicides: 'How am I going to get up tomorrow?' https://t.co/u6QxIZTLfm,1,
"RT @Mimirocah1: 18 USC Section 1513: Itâ€™s a crime to â€œknowingly, with the intent to retaliateâ€ù take â€œany action harmful to any person, inclâ€_",0,
"Chicago Police Department issued a warning ahead of summer that this behavior won't be tolerated.They have been iâ€_ https://t.co/7cPMpNJbqR",1,
"RT @TIA_EWING: Where is #KierraColes? The 27yo would be holding her newborn in her arms right now. However, the postal worker went missingâ€_",0,
"Don't miss out!Get your #NVQ #Level7 and become a Member of the Chartered Institute of Building (#MCIOB) withâ€_ https://t.co/HywMSNcUmJ",0,
"""Many training courses can be inaccessible and expensive so we wanted to ensure we created something that would oveâ€_ https://t.co/bnEZx3aOjp",0,
RT @danfascia: Here is my slide set from my talk at @EnglandRugby Wellington CPD on imaging of the developing rugby shoulder. @LinearProbeâ€_,0,
"RT @msandfor: @CoolTrish1 @YouTube Sure, next one is 14th May - Rise of the Robots #100Daysofcode https://t.co/NhQ1kw3OV4 https://t.co/yxâ€_",0,
RT @fox5dc: IT TAKES TWO SECONDS TO SHARE: Police need your helping finding 12-year-old Lapharis Moore who hasn't been seen since April 4.â€_,0,
"RT @CWBChicago: State's attorney Kim Foxx dumps thousands of pages of Jussie Smollett documents. Top aide calls CPD detectives ""the worst""â€_",1,
"RT @j_baylorcook: If the American flag offends you, maybe you shouldnâ€™t immigrate to America... https://t.co/Ox6wcam8M0",0,
@MrSmithRE @RE_McGEE The point being made was that the CPD the delegate had been subjected to was â€œbollocksâ€ù. I knoâ€_ https://t.co/EtwrK9uDJ1,0,
Fulfill your entire CPD cycle in just one week! The Advanced #Risk and Portfolio Management (ARPM) Bootcamp qualifiâ€_ https://t.co/McNaSEde9X,0,
"RT @TheTutorTrust: We are partnering with the wonderful charity @Place2Be, who provide mental health support in schools, to organise a uniqâ€_",0,
"Our bestselling #dental safeguarding courses are recommended by the British Dental Association.They're worth 3 hoâ€_ https://t.co/6vm5Zthsli",0,
RT @THEHermanCain: More fun from America's most embarrassing prosecutor: https://t.co/eyQEHRpDsf,1,?
"Nursing is a Sentinel, Not a Silo - Busting the Myth - Ausmed https://t.co/LWGXryQFKx",0,
@Chicago_Police hi quick question: I see cop cars break the rules of traffic daily. Why expect your citizens to obeâ€_ https://t.co/qatGmn5Ti5,1,
"RT @CWBChicago: State's attorney Kim Foxx dumps thousands of pages of Jussie Smollett documents. Top aide calls CPD detectives ""the worst""â€_",0,
"RT @CWBChicago: In new #JussieSmollett document dump, top Kim Foxx aide calls @chicago_police detectives ""the worst"" as he falsely accusesâ€_",0,
"RT @GiffordsCourage: Spread the word, Illinois: Firearm Restraining Orders can help save livesâ€”but only if people know about it.Visit httâ€_",0,
"RT @Lancs_IBCLC: Dear Health Visitor (2/2), Iâ€™m also sorry that you thought your own prejudices about rearing children were appropriate tâ€_",0,
RT @KamauRashid: The Murder Accountability Project has shown similarities between 51 murders over nearly two decades. Now CPD ... https://tâ€_,1,
"RT @workforce101: Chicago PD Superintendent Eddie Johnson, Rahm Emanuel call Jussie Smollett charges being dropped 'whitewash of justice'â€_",1,
"This Thursday, 25 April, at our next CPD event in Aberdeen, Andrew Buchan will be discussing a new approach to lessâ€_ https://t.co/FtnBxJBSGt",0,
"RT @KingTrillaX: Welcome to Chicago where if we donâ€™t kill each other, the police gone happily do it. https://t.co/CbaEpV81zx",1,
"one influential group in Chicago  poses a threat to cityâ€™s safety: Chicagoâ€™s police union, the Fraternal Order of Pâ€_ https://t.co/ty0YZTWksl",0,
@smiffdaaaa @CPD_Decsam @nocontextfooty @craighowse73 @SamWhiteeeeee Whereâ€™s his helmet?,0,
"If' you're wanting to #ReturntoTeaching Maths, check with your local Maths hub to see what CPD they've arranged - sâ€_ https://t.co/evar50Cvjk",0,
@TheCheetoQueen I hope cpd throws him in jail,1,
RT @SafesiteLimited: Our product and system toolbox talks are designed to help you ensure your #fallprotection systems are being used correâ€_,0,
Data for research less reliable than before: CPD  https://t.co/JKbkQu4Ti4,0,
"RT @DanProft: .@SAKimFoxx is focused on prosecuting violent criminals, she says. https://t.co/bkuddGkZ4U",0,
RT @DanielSedgewick: Join us for our joint ED and Pre-Hospital CPD evening in Northampton on 9th May @NGHnhstrust @nghptm @nghEDteam @EMASNâ€_,0,
"RT @AliceBazerghi: Police say an unruly customer at a restaurant in Ohio pulled an iguana from under his shirt, swung it around and threw iâ€_",0,
RT @LlangefniTownFC: Massive congratulations to Llangefni CPD U16s who beat Amlwch 2-0 to win the Anglesey Junior league this morning. Da iâ€_,0,
Cut my mile and a half run another two minutes today. I actually have hope about passing this power test for cpd _Ÿ˜_ *fingers crossed*,0,
"RT @BerksCRC: Not long to get booked on and not many spaces left!! Get ready for next season's regulations by attending one of the @AgeGrâ€_",0,
Chicago Public Schools performed more searches on the Chicago Police Department's gang databases than the FBI or alâ€_ https://t.co/WPELdjGW2H,0,but so dark
"Are you a teacher, or know someone who is? This free online CPD course from @STEMLearningUK contains valuable advicâ€_ https://t.co/k7pYhMD6hS",0,
Our new Summer 2019 CPD booklet has just been released! We have new courses from Jane Considine - Hooked on Books aâ€_ https://t.co/0aPZgkQGOq,0,
"RT @HoneyBeeLvr: FUCK CPD. This is the same shit drunk white people do on their spring breaks, it's just not treated as a crime because theâ€_",1,
Hammond Police Officer Jaime Garcia Resigns Under Scrutiny; Sources Say Incident In Question Involves AÂ Womanâ€_ https://t.co/orD74O0bOy,0,
"RT @ScottFlenHealth: Free educational event for nurses and medical practitioners about wound care management.(Day's agenda to follow)Netwâ€_",0,
"RT @larryelder: ""Hundreds Of Teens Run Through Downtown Chicago, Fighting And Disobeying Police""Dear #BlacksLivesMatter,Thoughts?httpâ€_",1,
"RT @SandraTXAS: The Chicago Police Department found more evidence in two weeks #JussieSmollettThan Robert Mueller found in over 2 years..â€_",1,
"Jussie Smollet, isnâ€™t the ONLY Jackass Chicagoâ€™s finest has had to deal with recently!  Shout out to #CPD! _Ÿ’ª_Ÿè»_Ÿ‘‹_Ÿè¿â€_ https://t.co/qcv8ORI0RO",1,
"RT @larryelder: ""Hundreds Of Teens Run Through Downtown Chicago, Fighting And Disobeying Police""Dear #BlacksLivesMatter,Thoughts?httpâ€_",1,
"RT @Strickomaster: School improvement in a simple tweet- Sort behaviour - Invest in staff CPD- Build relationships- Sort your curriculuâ€_",0,
"@princessjamie04 The police department called us the central hub. Between Chicago, Indy, Ft. Wayne, Toledo, Dayton,â€_ https://t.co/BKxmw1LB4i",0,
Police union exec says officers feel frustrated when enforcement efforts could lead to disciplinary action    https://t.co/IGDWs4t6JU,1,
RT @kokobutterfly1: and knowing how cpd operates I can say with absolute certainty that reports of fights are at the very least exaggeratedâ€_,1,
RT @LeukaemiaCareUK: Our online Nurse Academy is a free training course for #haematology and haemato-oncology nurses and has been accrediteâ€_,0,
"9am-4pm CPD Seminar, 4pm-6:30 review and collecting thoughts, 6:30-8:30pm dinner and watched live band, 8:30-11:30pâ€_ https://t.co/cgNjeWzjzu",0,
RT @MrAndyNgo: Racist white men in Chicago attacked black gay actor and said â€œThis is MAGA countryâ€ù? Media/activists who are out for bloodâ€_,0,
RT @PrecedentMag: Looking to diversify your firm? Attend #OITLD19 on June 12th! Learn how to incorporate internationally-trained lawyers inâ€_,0,
Jussie Smollett is at it again folks. He dressed up like a sexy lady and tricked the head of the Chicago Police Depâ€_ https://t.co/efRGgfSlsR,1,
"RT @ChicagosMayor: Today at the @CPDMemorial Name Unveiling Ceremony, we honored @Chicago_Police members who have fallen in the line of dutâ€_",1,
Another fabulous lunchtime webinar with @vetmindmatters #cpd #onlinelearning #culture #healthcare If you've missedâ€_ https://t.co/DREI2MwUTp,0,
"RT @cbschicago: Libby German, 14, and Abby Williams, 13, were killed near Delphi, Indiana in February 2017. Indiana State Police plan to anâ€_",0,
*UPDATE 4/18/19 4:55PM: Watkins Rd. is closed between Winchester Pike and Spangler Rd.  It is ONLY open to local trâ€_ https://t.co/AsGMAW9vX0,0,
Car2go vehicle theft in Chicago probed by police https://t.co/88V7eNu22S https://t.co/3CN4lYxcIV,0,
RT @illuminatemics: but why are the police mobilizing like this because young people are downtown on a beautiful day during their spring brâ€_,0,
"RT @TritonSystems: Our qualified technical team supports the provision, specification &amp; use of our waterproofing systems through project teâ€_",0,
"RT @Michnolan: #FinuasSkillnet Cluster programme for 2019 is confirmed - registration has opened for Carrick-On-Shannon, Laois, Donegal andâ€_",0,
"RT @tmafaisal: ""I also couldnâ€™t help but notice the potential similarities between Bezos and Jussie Smollett, the actor ... who alleged heâ€_",0,
"RT @KingTrillaX: Welcome to Chicago where if we donâ€™t kill each other, the police gone happily do it. https://t.co/CbaEpV81zx",1,
"RT @EarlyReport: Police Visited A.J. Freundâ€™s Familyâ€™s Home in Crystal Lake 10 Times in Past 5 Years; Found Decrepit, Dirty Conditions: CBSâ€_",1,
"RT @ChiefKyes: CPD, Transit Police &amp; MSP are investigating a fatal accident on Everett Ave at the on-ramp to the Tobin Bridge. The accidentâ€_",1,
"RT @maximjkelly: #EduTwitter: The best CPD available?A few thoughts on the value of Twitter and some good folks to follow... https://t.co/â€_",0,
RT @DrRJKavanagh: P.S. Here's the Chicago police union's statement on the DA's decision to drop charges against the 16 year-old girl theseâ€_,1,
RT @NaderDIssa: Chicago police say they arrested 30 people tonight as general mayhem popped off in several areas downtown. More arrests areâ€_,1,
Police seek suspect in South Chicago kidnapping attempt https://t.co/dNVcpvVDhR via @suntimes,1,
RT @TSC_Latin: Many thanks to the staff of The Grange School for hosting an excellent Classics  CPD event yesterday. As always it was a pleâ€_,0,
RT @AbbeyfieldEDU: @musicmind @ITLWorldwide @itPressUK @CrownHousePub Thank you for the amazing CPD. A really inspirational session!!,0,
RT @CPDAction: We do not need any #Trump cronies controlling our economy. Reject Fed pick #StephenMoore by signing this petition. [insert yâ€_,0,
RT @docrocktex26: Trump's brazen corruption and self-sabotage will only escalate the more fearful he becomes of our discovery that his *whoâ€_,0,
RT @surrey_ccd: Do you coach to your DNA ?do you lead or do you follow ? Do you have A DNA For all 3 phases of the game ? Come and discussâ€_,0,
"RT @codeclubscot: Calling all educators in #Scotland?Fancy some free CPD supporting educators to develop their computing and digital makiâ€_",0,
RT @NaderDIssa: Chicago police say they arrested 30 people tonight as general mayhem popped off in several areas downtown. More arrests areâ€_,1,
