,tweet,
615,b' newsatw police slain illinois boy beaten put cold shower chicago ap \xe2\x80\x94 police believe illinois couple\xe2\x80\xa6',
11006,b' book cpd it\xe2\x80\x99s resource bank it\xe2\x80\x99s refreshing it\xe2\x80\x99s fantastic well done vocabularyninja',
6293,b' god cpddecsam stop tryna spoil',
3147,b' thieves targeting vehicles left running southwest side police',
4422,b' another orchestrated crisis get police tv bunch media pigs\xe2\x80\xa6',
2450,b' chicagocaps03 chicagopolice fox32news abc7chicago cbsnews wgnnews suntimes chicagotribune great work',
41,b' lorencehud world desperately needs honest men like chicago police superintendent eddie johnson please listen superinten\xe2\x80\xa6',
4792,b' said goodnight yall fake bitches blackpink chicago dont air drop sick ass videos im calling police',
9031,b' sareward cape town breakfast event 10 may 2019 cpt 2 cpd points register event topics agile hr\xe2\x80\xa6',
7577,b' bbomathshub primary teacher subject knowledge enhancement starts 14 may lovely easthampstead park bracknell hosted nathan\xe2\x80\xa6',
8728,b' bwclark kirstymcfaul casscotland compednet could please running cpd computing teachers 1st\xe2\x80\xa6',
13456,b' thedps weve partnered nalscheme create free online training course guide key principles dis\xe2\x80\xa6',
15452,b' wiscpas price jumps friday register 2019 financial institutions conference week save 50 w\xe2\x80\xa6',
2197,b' pts48 tiaewing chicagopolice done waiting game slip matter time',
432,b' thejusticedept stalked racist fbi using government resources innocent dupes low life individuals chicag\xe2\x80\xa6',
12950,b' nasuwt2019 continuing professional development \xe2\x80\x98time off\xe2\x80\x99 training causing controversy seem a\xe2\x80\xa6',
1884,b' capturednews chicagopolice well fucked lost girl treatment wonder connected',
12925,b' mrkteacher missc1717 get inbetweeners cpd frustrates still m\xe2\x80\xa6',
2061,b' jussie smollett framed defamed chicago police argues brother',
14985,b' ioshsouthwales upcoming event alert mercure hotel swansea 17042019 200pm buffet served 100pm liz thomas evans prin\xe2\x80\xa6',
12366,b' cpddecsam jacmharris poisson4 brianreckley94 carlthfc absolutely fine support local team to\xe2\x80\xa6',
5303,b' chicago public schools performed searches chicago police departments gang databases fbi al\xe2\x80\xa6',
12929,b' murder accountability project shown similarities 51 murders nearly two decades cpd',
10329,b' client human resource business partner model find answer questions abo\xe2\x80\xa6',
