 inputtext,Answer.sentiment.label
 greekgrl2005 shock twist disappear miss pregnant chicago teen,Not about the police
 remain found amid search pregnant chicago woman vanish meetup swap babi item,Not about the police
 katiekimnbc chicagopolic nbcchicago anyon know there go fund set famili im,Not about the police
 sassadnew often chicago polic make arrest rape case here glimps hit 10year low,About the police - Positive
 ndilnew mother 2 son among 11 charg feder drug amp gun probe chicago fbichicago chicagopolic,Not about the police
 michelewood50 amaz time armygk coupl bravest chicagocaps19 boss jump plane,About the police - Positive
 chicago alderman arrest file fals polic report get smollett deal,Not about the police
 synagogu chicago target attempt act arson broken glass bottl char black c,Not about the police
 stalk filth individu gang work chicagoevergreen park polic oppress civil right p,About the police - Negative
 chicagopolic open new tech center analyz video dispar sourc publicsafeti,About the police - Positive
 cwbchicago chicagopolic da drop charg right,About the police - Positive
 polic pregnant woman slain babi cut womb still aliv chicago,Not about the police
 joeiskindabor rukusmag cwbchicago emzanotti chicagopolic awesom banter nice done,About the police - Positive
 nbcwashington hey chicagopolic may want look governorkayivey murder suspect enjoy rippi,About the police - Positive
 man shot near lakefront trail south side wednesday chicago polic plan beef pa,About the police - Negative
 marlen ochoauriostegui 19 gone chicago home pick free babi cloth strangl babi,About the police - Positive
 infant rip womb miss woman polic sourc say,About the police - Positive
 passerbi abl film driver appear 10 year old nowher found b,About the police - Positive
 cub suntim bbcworld nytim sfgate tmz twitter yahoonew skynew nola latim facebook foxnew cbn,Not about the police
 incom chicago mayor path histor polic reform,About the police - Negative
 chicago polic illinoi child welfar agenc say staff chicagoarea hospit didnt alert de,About the police - Neutral
 chicago mayor lori lightfoot announc hire sever top offici reiter rahm emanuel,Not about the police
 staff chicagoarea hospit fail alert polic illinoi child welfar offici determin,About the police - Neutral
 suzyrudi rukusmag cwbchicago emzanotti chicagopolic welcom,About the police - Positive
 chicago polic arrest one person connect arm carjack teacher park lot,About the police - Neutral
 earlyreport simeon career academi teen senior shot wound 31st street beach chicago chicago polic firefight param,About the police - Neutral
 america watch show polic depart chicago detroit develop rea,About the police - Positive
 meanwhil chicago alderman proco joe moreno arrest file fals polic report moreno democrat,About the police - Negative
 chicago height 101 606 andov st 200 person fight shot fire polic,About the police - Neutral
 pregnant woman gone chicago home respons facebook offer free babi cloth strangl,About the police - Positive
 markriveraabc7 abc7chicago chicago polic dumb resist silicon valley sale pitch way accur,About the police - Negative
 realdonaldtrump follow covertli electron harass poison amp setup frame racist fbi use,Not about the police
 chicago despit increas tax revenu new mayor face project 740 million budget shortfal retroact pay,Not about the police
 local lane close polic activ danryan dan ryan outbound 47th st garfield blvd traffic chicago,About the police - Neutral
 chicago polic question four peopl connect disappear 19yearold pregnant woman,About the police - Neutral
 judyhsuabc7 break live abc7chicago chicago polic share detail disturb murder 19 year old pregnant woman,About the police - Neutral
 today rahm emanuel last day mayor chicago lori lightfoot former feder prosecutor later led th,Not about the police
 polic illinoi child welfar agenc say staff chicagoarea hospit didnt alert determin,About the police - Negative
 johnrsingleton shot kill two chicago polic offic nobodi look good nobodi,About the police - Neutral
 cwbchicago chicagopolic need famou high price lawyer get maga countri,About the police - Negative
 inform rabbi david,Not about the police
 ap apcentralregion chicago polic say newborn cut womb mother strangl th,About the police - Neutral
 man fatal shot chicago polic offic barricad situat prompt swat respons wednesd,About the police - Negative
 sea blue washington honor famili fallen polic offic includ 470 chicagopolic offic stan,About the police - Positive
 chicagosfines19 cannot imagin chicago polic offic right would heartbeat im,About the police - Positive
 chicagotribun chicagopolic incompet hell utter embarrass see hear wors fea,About the police - Negative
 chicago alderman accus lie car stolen polic arrest chicago alderman charg allegin,About the police - Neutral
 chicago polic depart s6e20 vostfr,About the police - Neutral
 eddi johnson like resign anoth hot chicago summer shoul,About the police - Negative
 want thank bluebloodscb provid dad hour hour entertain retir chic,About the police - Positive
 incom chicago mayor path histor polic reform,About the police - Negative
 brianaevigan2 brodnicki chicago went polic lo angel say pictur sant,About the police - Neutral
 chicago polic investig scene person shot kill 7200 block south jefferi chicago,About the police - Negative
 mickeyd1971 wbez lori lightfoot need follow polic issu linger rahmemanuel,About the police - Negative
 miss pregnant woman found dead babi forcibl remov womb polic say,Not about the police
 miss pregnant woman found slain babi cut womb chicago polic say,Not about the police
 tribedboard editori lori lightfoot job set chicago expect intoler shoot kill poli,Not about the police
 polic say stray gunfir struck suburban school bu drop student museum scienc indust,Not about the police
 juli882 cwbchicago chicagopolic forget jussiesmollet spend time jail,About the police - Neutral
 cwbchicago chicagopolic go chicago fals report,About the police - Negative
 miss eddwar nunez 15 left home may 10 school return accord aurora polic,Not about the police
 chicagopolic chicago deep dish blow away nyc pizza,Not about the police
 chicago alderman accus lie car stolen associ press polic arrest chicago,About the police - Neutral
 michaelgmast jewish commun officialscn appreci hard work chicagopolic horribl attempt arso,About the police - Positive
 4300 peopl murder chicago emanuel eight year mayor chang chi,Not about the police
 irritatedwoman michelleinc chicago wont even get polic report,About the police - Neutral
 iotprivacyforum chicago detroit purchas softwar carolina compani dataworksplu give polic abil id,About the police - Neutral
 polic believ pregnant woman went miss lure home chicago kill unborn child,About the police - Negative
 newborn critic condit polic say teen mother kill horrif attack chicago,About the police - Neutral
 aw horribl tragic news come citi remain found home 4 question case missin,About the police - Positive
 drixand cpac back also appar settl socialist caucu,About the police - Positive
 ivxvxcvi katiekimnbc chicagopolic nbcchicago reveng us wont bring back mother,About the police - Positive
 polic armor vehicl swarm andov street chicago height,About the police - Neutral
 armor truck cop rifl crowd chicago height street,About the police - Positive
 chicagobreak anton carter found guilti kill offduti chicago polic offic michael bailey botch carjack 2010,About the police - Negative
 activist group chicago suburb put billboard messag demand justic 34yearold woman shot,About the police - Negative
 polic pregnant chicago woman slain babi cut womb three custodi,About the police - Positive
 chicagocaps14 specialolymp dunkinchicago soillinoi chicagopolic happi stop donat sorri,About the police - Positive
 chicago polic search man suspect leav molotov cocktail synagogu,About the police - Neutral
 view fraud northern il dist court 13cv2621 lawsuit complaint doc 28 comparison judg order doc 48 chica,About the police - Positive
 byldonovan chicagosmayor lightfoot chief bodi guard earn 166k per sourc undergo chicago polic train marie4congr,About the police - Neutral
 bringthebeatin fbi cia 911 chicagopolic usmc usnavi coastguardcan usarmi look like go,About the police - Positive
 nuclear94 illinoi meteor chicago polic camera captur incred blaze firebal,About the police - Positive
 polic look man tri lure girl pickup truck saturday englewood south si,About the police - Neutral
 wow even hospit dont trust chicago polic,About the police - Negative
 number risingwomen miss found dead chicago,Not about the police
 chicago polic question four peopl connect disappear 19yearold pregnant woman,About the police - Neutral
 chicago finest reform anim kill reformingincom c,About the police - Positive
 miss pilsen woman strangl sw side babi taken womb grave condit author say babi remain,About the police - Neutral
 mayor dismiss controversi bodyguard detail tempest teapot,About the police - Positive
 stalk filth individu gang work chicagoevergreen park polic oppress civil right poi,About the police - Negative
 miss chicago woman found strangl babi cut womb grave condit author say babi remain gr,About the police - Positive
 racist fbi reli corrupt chicagoevergreen pk polic gang amp low life filth individu use covert poi,About the police - Negative
 anoth deadli polic shoot chicago edg give crap black peo,About the police - Negative
 kelongino86 chicagopolic chicagosfines19 cta sorri experi like,About the police - Positive
 cookcountym remind tomorrow host third annual miss person day headquart 2121 west harrison st chic,Not about the police
 wellregul member well regul militia shoot groin ride car die five day later htt,About the police - Neutral
 famili cpd fallen offic command paul bauer po eduardo marmolejo po samuel jimenez po conrad,About the police - Positive
 man say fck chicago amp move goon opp hunt play king von run policeda product dvd,About the police - Negative
 pregnant woman gone chicago home respons facebook offer free babi cloth strangl,Not about the police
 2 bullet strike bu student taken chicago museum polic say stray gunfir struck suburban school bu,Not about the police
 chicagocaps09 come see classic car support chicago polic memori foundat neverforget chicagopolic c,About the police - Positive
 golgariglenross remind peopl disappear chicago polic,About the police - Negative
 rukusmag cwbchicago emzanotti chicagopolic see,About the police - Neutral
 mr hamer rightli wellknown work mississippi id remiss note 1973 w,Not about the police
 cstbreak pedestrian struck driver roger park still unidentifi polic,About the police - Neutral
 chicagobreak chicago polic beef patrol cta train bu line summer begin memori day weekend,About the police - Neutral
 chowkidarranji8 syr98009620 inkmonkey3 naveenm14993552 palanin classicbuy ramsrini3 khantastix sushmaswaraj ilstatepolic,Not about the police
 failur mani front ye recogn risk approach arm suicid man undergo tra,About the police - Negative
 chicago polic investig three molotov cocktail found outsid ansh sholom bnai israel congrega,About the police - Neutral
 infant rip womb murder woman polic sourc say via suntim,About the police - Neutral
 first act mayor arm polic vibrat rub crime chicago lightfoot,About the police - Negative
 three charg miss chicago woman found dead babi remov womb polic sa,Not about the police
 99 year ago week 8 month whitesox conspir throw 1919 worldseri red,Not about the police
 suntim polic found 2yearold kyrian knox butcher bodi dump garfield park lagoon accus killer kamel harri exp,About the police - Neutral
 asburyparkpress marlen ochoauriostegui 19 gone chicago home respons facebook offer free babi cloth,Not about the police
 nbcbayarea pregnant woman whose bodi found behind home chicago southwest side murder babi forcibl remov,Not about the police
 stalk filth individu gang work chicagoevergreen park polic oppress civil right poi,About the police - Negative
 marlen ochoa strangl babi cut womb lure home pretens,Not about the police
 drone footag show amaz view chicago wow drone captur murder robberi,Not about the police
 tylerlarivier chicago polic investig scene person shot kill 7200 block south jefferi chicago c,About the police - Neutral
 chicago polic depart district strateg plan,About the police - Neutral
 feel bad whichev writer atlant trade rahm emmanuel go sabotag chicago public,Not about the police
 three peopl charg miss pregnant woman found dead chicago southwest side accord,About the police - Neutral
 fou dog polic dept chicago il dun irv park rd amp central chicago male shih,About the police - Neutral
 malavemark cwbchicago chicagopolic ask jussiesmollett deal,About the police - Negative
 chicagocaps14 chicagopolic stick your good chicago pd harass minor,About the police - Negative
 tribut polic week chicago polic depart via youtub,About the police - Neutral
 chicagosfines19 bftfchicago cpdmemori bftfnyc bftfdalla brotherhoodfwt2 brotherfallscpd chicagopd19,About the police - Positive
 thank chicago pd work get bottom terribl miss women childgreat job eddiechicagopolic,About the police - Positive
 bringthebeatin fbi cia 911 chicagopolic usmc usnavi coastguardcan usarmi usairforc nasa well block fbi,Not about the police
 kjrs56 way cop still tri cover laquan mcdonald execut,About the police - Negative
 lollybowean chicago polic take new look unsolv slay 55 women possibl serial,About the police - Neutral
 charliemagn outgo chicago ald proco joe moreno charg insur fraud obstruct justic file allegedli,About the police - Neutral
 cstbreak schorsch villag woman dementia report miss polic,About the police - Neutral
 chicagopolic know hard work stay safe,About the police - Positive
 five illinoi law enforc offic die line duti honor part annual nationa,About the police - Neutral
 pammiewammi sick shit poor famili poor girl smh disgust miss pregnant woman found de,Not about the police
 mom retir chicago polic depart today turn 63 year old week gemini,About the police - Positive
 cwbchicago chicagopolic get smollett treatment he well connect know obama,About the police - Negative
 big updat chicagopolic arrest three peopl murder pregnant teen marlen ochoa polic,About the police - Neutral
 god speed maggi hickey,Not about the police
 bbcworld marlen ochoalopez muder chicago polic make three arrest via twitter,About the police - Neutral
 miss pregnant teen found dead babi cut womb via cbsnew,Not about the police
 women treat like properti discard good 2019 still go us complet unacc,Not about the police
 man want arson attempt synagogu abc news via abc,About the police - Neutral
 covertli electron harass poison amp setup frame racist fbi use low life individu,About the police - Negative
 1 kill 1 wound roseland shoot polic,About the police - Neutral
 polic miss pregnant teen found dead babi cut stomach via dailycal,About the police - Neutral
 know exact time cvspharmaci locat bastard tri use stolen cc yet,Not about the police
 help find miss 14yearold girl last seen chicago februari,Not about the police
 arm man shot kill confront chicago polic swat offic south end u,About the police - Negative
 mightymoh61,Not about the police
 nytrumpanze ok ill give 90 black black chicago got problem far black peop,About the police - Negative
 bigcityliv chicago watch son play basebal chicagopolic crime scene investig remov r,About the police - Neutral
 propos crimin enterpris databas insuffici prematur solut cpd broken gang databas,About the police - Negative
 two polic offic work work hard learn jewish commun there truli n,About the police - Positive
 chicago woman nine month pregnant strangl death babi cut womb polic said,About the police - Neutral
 cwbchicago chicagopolic updat subway though,About the police - Neutral
 chicagosra fred hampton born summit il founder illinoi chapter black panther parti murder chicago po,About the police - Negative
 48hour meet one chicago polic offic dare break code silenc whistleblow return friday 87c cb cb,About the police - Neutral
 polic search man left molotov cocktail chicago synagogu appar arson attempt,About the police - Neutral
 chicago polic take new look unsolv slay 55 women possibl serial,About the police - Neutral
 exchicago polic command plead guilti steal 363000 social secur mother death,About the police - Negative
 jacoblionello53 ericskelton peopl pleas dont forget jason van dyke chanc snuck line 120 ref,Not about the police
 chicago polic say devic use strangl marlen ochoalopez recov garbag home,About the police - Neutral
 listen good ol hostag situat chicago polic scanner drive past everi day way back work,Not about the police
 racist fbi reli corrupt chicagoevergreen pk polic amp gang amp low life filth individu use covert poi,About the police - Negative
 polic say school bu struck stray gunfir struck drop student museum scienc,About the police - Neutral
 racist fbi reli corrupt chicagoevergreen pk polic amp gang amp low life filth individu use covert poi,About the police - Negative
 stalk filth individu gang work chicagoevergreen park polic oppress civil right p,About the police - Negative
 tictoc chicago alway tri blame white man troubl amp hardship life chicago run b,Not about the police
 america watch claim detroit amp chicago purchas softwar datawork plu give polic abil,About the police - Neutral
 nhl must realli hate polic firefight em realli shouldnt game 6th place mac v,Not about the police
 chicagosmayor chipubschool chipublib worldbizchicago chicagodot chicagopark thechatweet cta,Not about the police
 bullshit hike pay damag caus chicago polit tie hand chicago polic,About the police - Positive
 chicagopolic look like challeng h,About the police - Neutral
 molotov cocktail thrown chicago synagogu sunday car window smash outsid three other p,About the police - Positive
 rebecca canobeltran last seen near 2400 w roosevelt rd accord polic,About the police - Neutral
 racist fbi reli corrupt chicagoevergreen pk polic amp gang amp low life filth individu use covert poi,About the police - Negative
 man want arson attempt synagogu abc news via abc,Not about the police
 polic arrest chicago alderman charg alleg lie report car stolen,About the police - Negative
 19yearold pregnant woman found dead chicago babi cut womb polic abc news lookner,About the police - Positive
 youtub chicagopolic abraham lincoln ident take adhd away next project brai,Not about the police
 ktla marlen ochoalopez nine month pregnant went miss,Not about the police
 kratosl there way actual believ mani larg citi new citi chicago,Not about the police
 chicago tribun find 27000 illinoi resid fail surrend firearm account firearm foid car,About the police - Neutral
 exchicago polic command plead guilti steal 363000 social secur mother death,About the police - Positive
 virtual realiti technolog use help train chicago polic offic,About the police - Neutral
 polic man took electr shop cart drunken shoplift joyrid insid walmart,About the police - Neutral
 pregnant woman gone chicago home respons facebook offer free babi cloth strangl,About the police - Neutral
 latest 3 arrest death pregnant woman chicago ap latest slay pregnant chicago w,Not about the police
 thisisandydahn chicago polic say brave 26yearold valet employe help author catch two men rob valet stand gu,About the police - Positive
 great work commun find killer great work chicago polic chicago detect aw,About the police - Positive
 secur beef lakeview east synagogu firebomb chicago polic step patrol monday around,About the police - Neutral
 marilyncorn robelgasabc7 abc7chicago chicagopolic kid dont question,About the police - Negative
 clarisa figueroa accus murder 19yearold mothertob cut babi tri pass,About the police - Positive
 molotov cocktail thrown chicago synagogu sunday car window smash outsid three other p,Not about the police
 1 big mike former chief staff tinatchen want testimoni amp doc present interchang,About the police - Neutral
 cpd mom blue kid invit recogn today white sox game mom announc,About the police - Positive
 scottfloat valuabl lesson empathi along procedur virtual realiti law enforc train emergentepris enterpris h,About the police - Positive
 suntim congrat sergeant tomasello,About the police - Positive
 ald proco joe moreno taken custodi tuesday night arrest warrant chicago polic confirm,About the police - Neutral
 rookiecitycop obvious employ chicago polic depart,About the police - Neutral
 dailymail chicago hospit investig call polic boy rip mother womb,About the police - Negative
 bodi marlen ochoauriostegui 19 report miss last month found behind home chicago,About the police - Positive
 yall beauti thing glumlif yall know ish polic know,About the police - Neutral
 earlier month member oakpark polic depart honor take part st jude polic,About the police - Neutral
 break woman daughter charg murder death pregnant 19yearold whose babi,About the police - Negative
 chicago polic investig attempt arson vandal near synagogu,About the police - Neutral
 mother daughter charg firstdegre murder death 19yearold marlen ochoa lopez ch,Not about the police
 chicago polic search man suspect leav molotov cocktail synagogu,About the police - Positive
 polic prosecutor find fault legal pot test driver chicago daili herald,About the police - Positive
 illinoi meteor chicago polic camera captur incred blaze firebal,About the police - Neutral
 ep 3 vastmajoritypod w chicago socialist citi councilor cdrosa rosa recent reelect w 5 new,Not about the police
 pregnant 19yearold babi cut womb murder polic say,Not about the police
 suntim make thing littl easier memori day weekend construct work cut back,Not about the police
 naveenm14993552 syr98009620 chandravangoor inkmonkey3 palanin classicbuy ramsrini3 khantastix sushmaswaraj ilstatepolic,About the police - Neutral
 infant rip womb murder woman polic sourc say via suntim,Not about the police
 latest dna test connect babi slain mom chicago ap excitingad news,Not about the police
 babi chase better thank god,Not about the police
 suntim ald proco joe moreno charg insur fraud obstruct justic wednesday morn relat,About the police - Positive
 sinc polic obvious tri find kierra cole someon start go fund page hire pr,About the police - Positive
 pregnant 19yearold babi cut womb murder polic say,Not about the police
 chicagooig thank brightonpark neighborhood network nathansdavis1 host present gangdatabas today,Not about the police
 rabbi cooper say one individu chicago onlin behavior monitor r,Not about the police
 nancyloo cgousman chicagopolic wgnnew pray babi yovani famili,About the police - Positive
 polic say chicago woman sold babi cloth pregnant woman lure back hous offer,About the police - Neutral
 editori high cost polic misconduct financi break citi,About the police - Positive
 abc sometim forgot chicago polic deal,About the police - Positive
 chicago polic arson unit investig 3 molotov cocktail found outsid lakeview east synagogu,About the police - Neutral
 ald joe moreno arrest polic say ald joe moreno arrest tuesday night chicago polic confirm polic,About the police - Negative
 twinklingtania rahmemanuel given contributor spot theatlant amp piec talk hold elit account,Not about the police
 dkimbocz chicagopolic chicagocaps14 ndilnew fbichicago deachicagodiv atfchicago one ha noth wit,About the police - Neutral
 hadiya shot dead chicago street derrion beat death skull crack concret rekia boyd shot chicago pol,About the police - Negative
 mmpadellan black commun black black murder every1 scream polic c,About the police - Neutral
 chicago polic alert attempt arson attack vandal synagogu citi accord,About the police - Positive
 timelin investig murder marlen ochoa lay horrif narr chicago polic detail,About the police - Neutral
 pregnant woman strangl babi cut womb respond offer facebook say chicago polic,About the police - Neutral
 polic question four peopl connect disappear 19yearold pregnant woman pilsen,About the police - Neutral
 chicago polic question 4 pregnant woman disappear,About the police - Positive
 bymattmasterson chicagopolic still seek identifi person connect attempt arson,About the police - Neutral
 welcom east side chicago bodi get drop polic claim someon shot,About the police - Negative
 cbsnew miss pregnant teen found dead babi cut womb,About the police - Positive
 miss pregnant woman found dead babi forcibl remov womb polic say,About the police - Neutral
 molotov cocktail thrown chicago synagogu sunday car window smash outsid three other p,Not about the police
 chicagotribun ford injuri stem dec 12 2017 shoot began then18yearold pull,Not about the police
 abc7chicago chicago polic use virtual realiti technolog put offic shoe someon deal mental health c,About the police - Neutral
 fox news illinoi alert earli clue wombcut case polic illinoi child welfar agenc say st,About the police - Neutral
 cwbchicago emzanotti chicagopolic didnt think crime chicago,Not about the police
 congratul felicia davi former chicago polic offic amp head mayor offic public engag,About the police - Positive
 warn polic men pose plumber construct worker trick elderli chicago homeown,Not about the police
 ashleerezin polic gener violenc doesnt prevent defundpolic disarmpolic dismantlepolic,About the police - Negative
 embolden ramirezrosa reintroduc extrem civilian polic review plan,About the police - Neutral
 pregnant teen babi cut womb murder polic said,About the police - Negative
 chicago polic find jussi smollett phone record attack,About the police - Negative
 lisafield break three peopl charg death pregnant teenag marlenochoa whose bodi discov garbag,Not about the police
 aldvillega mayor new floor leader rise adjourn meet lightfoot wield gavel th,Not about the police
 icymi chicagopeacefellow gloria smith execut director black star project reflect chicago polic depa,About the police - Neutral
 execut director traci siska cb news discuss polic transpar need,About the police - Positive
 wayand nilofarayoubi crimin woman pretend pregnant amp also post pregnanc pictur fb appar,About the police - Neutral
 miss pregnant teen found dead babi cut womb,Not about the police
 youtub chicagopolic vnilesil flotu tomdart never dui test posit amphetamin everyon,Not about the police
 chicagotribun know anyth park ticket marlen car car also report miss,Not about the police
 thomasb23853663 cwbchicago erictendian chicagopolic wonder hell get juici fruit deal,About the police - Neutral
 cwbchicago chicagopolic dismiss right,About the police - Neutral
 polic girl 15 miss archer height chicago suntim,About the police - Negative
 r kelli pay 40000 back child support payment face sex abus charg,Not about the police
 three charg pregnant woman strangl babi cut womb chicago polic,Not about the police
 view fraud northern il dist court 13cv2621 lawsuit complaint doc 28 comparison judg order doc 48 ch,About the police - Negative
 chicago polic seek suspect arson attempt synagogu,About the police - Positive
 dickdurbin jbpritzker govraun cia secretservic fbiwfo fbichicago,Not about the police
 cookcountysao ndilnew fbichicago chicagopolic lol chicago polic hate,About the police - Negative
 fed confirm chicago polic depart corrupt thought,About the police - Positive
 jess49477596 whatsfilmingon saw chicago polic car bu confus chicago polic,About the police - Neutral
 chicago man musatdin rop told author messag allah want take destroy casino,Not about the police
 chriscampolei cwbchicago chicagopolic lucki isnt crime chicago,About the police - Negative
 soitgo polic chief eddi johnson say he devis plan give kid altern downtown mischief gotta better idea,About the police - Positive
 tan123 fight fossil fuel take fossilfuel trip block build entranc forc chicago polic stuff le,About the police - Positive
 illinoistech tuesday may 21 chicagopolic depart conduct exercis illinoistech cunningham hall,About the police - Neutral
 edlatimor know wors polic pull f white boy know theyr tweet friend,About the police - Neutral
 talk1370 headlin pregnant teen found dead chicago babi cut womb polic,Not about the police
 chicago polic use vr mental health crisi train via abc7chicago,About the police - Neutral
 incarnatedet 8 chicago citi council current bond chicago citi council 50 aldermen four current,Not about the police
 thisisandydahn chicago polic say clarissa figueroa daughter desire kill teen third person charg conceal h,Not about the police
 detjoelocu odmp woundedblu bluefamilypray natpoliceassoc woundedbluedoc ltrandysutton officerdownu,About the police - Positive
 cwbchicago chicagopolic good long joe money fame liber media back oh,About the police - Neutral
 incom chicago mayor path histor polic reform,About the police - Neutral
 molotov cocktail thrown chicago synagogu polic say author investig whether incid con,About the police - Neutral
 nowthisnew america come term local polic depart uncl dirti chicago cop ba,About the police - Negative
 chicago polic arson unit investig 3 molotov cocktail found outsid lakeview east synagogu,About the police - Neutral
 cstbreak burglar break vehicl window lincoln park polic,Not about the police
 chicago polic question four peopl connect disappear 19yearold pregnant woman,About the police - Neutral
 new york postmay 15 2019 chicago politician arrest file fals polic report get smollett judg cours,About the police - Negative
 sparklebroom katiekimnbc chicagopolic nbcchicago god save littl child whole life loss one tini soul,About the police - Neutral
 19yearold pregnant woman found dead chicago babi cut womb polic,Not about the police
 hokiedokie24 48yearold woman miss lawndal southwest side pearlean bailey last seen april 6 1400 bl,Not about the police
 happen woman sad amp crazi peopl better solv crime actual,About the police - Negative
 disgust wtf wrong chicago polic arrest three case slain mother whose babi life,About the police - Neutral
 name joshua jone citi chicago date 012017 caus death gunshot report,Not about the police
 ghabs9 cwbchicago chicagopolic look dude name smollet case dismiss,About the police - Negative
 facilit day 4 field train evalu program south chicago height polic depart,About the police - Neutral
 toddler shot head three month ago surviv he great shooter caught,About the police - Neutral
 man want arson attempt chicago synagogu polic,Not about the police
 feder indict charg 4 men commit murder increas posit violent gang fbichicago,Not about the police
 chicagoarea polic warn zombi raccoon distemp abc news,About the police - Neutral
 pipe bomb thrown toward offic kill seven policemen injur 60 polic kill four w,About the police - Neutral
 chicagocaps18 18th district polic explor chicago white sox outing special thank chicago white sox,About the police - Positive
 snowgoggl today learn chicagopolic law broken motorist hit cyclist car offic sgt,About the police - Neutral
 chicagocaps11 thank everyon donat 011th district dunkin donut special olymp illinoi fundrais chicagopoli,About the police - Positive
 chicago woman charg murder pregnant mother cut infant womb polic said,About the police - Neutral
 chicagopolic ajguglielmi thank serv everi day salut,About the police - Positive
 chicago politician arrest file fals polic report get smollett judg,Not about the police
 monday chicago polic kept watch eye ansh sholom bnai israel congreg lakeview,About the police - Neutral
 gusthehobocat detjoelocu odmp woundedblu bluefamilypray natpoliceassoc woundedbluedoc ltrandysutton officerdownu nation,Not about the police
 simeon career academi teen senior shot wound 31st street beach chicago chicago polic firefight,About the police - Neutral
 vela mageouu wonder never let go pick letgo craigslist stuff find th,Not about the police
 fox32new girl miss week polic look 14yearold girl miss sinc may 13 chicago,About the police - Neutral
 new chicago mayor lori lightfoot make histori citi first black femal first openli gay mayor,Not about the police
 big school backpack drive retir polic car favorit brand tom ford influenc dirti south trap call,Not about the police
 mass extinct relat peopl build mother ship steal mothership inform steal terra,Not about the police
 copelander06 cwbchicago chicagopolic chicago sound like nice place,Not about the police
 stacaliciouss polic one isnt fire em station counti polic dispatch,About the police - Positive
 harvest bibl chapel founder jamesmacdonald still contest fire greater chicago megachurch eve,Not about the police
 edenhallseri chicago polic detect sean clari return activ duti knife injuri get assign turn ou,About the police - Positive
 polic arrest 46yearold woman 24yearold daughter say pair strangl young pre,About the police - Neutral
 warn zombi raccoon warn zombi raccoon may sound like someth bad televis show,Not about the police
 jaymalgreen here retir chicago polic offic member fop tell laquan mcdonald shot 1,About the police - Negative
 katiekimnbc chicagopolic nbcchicago hope got right peopl cpd wrong fill bi,About the police - Negative
 jtumid ajplu like,About the police - Neutral
 abigail moreno last seen may 20 4700 block south tripp avenu accord miss person alert fr,Not about the police
 cwbchicago crainschicago chicagopolic kim foxx take care right recus,About the police - Neutral
 jepkratz michaelhudak mooselip filledwithhope5 geogreer2 piewhackett hmcruzr mbees39 anoncassi,Not about the police
 chicago ramp secur arson attempt vandal synagogu,About the police - Neutral
 cwbchicago chicagopolic im guess alderman doesnt connect kim foxx obama,Not about the police
 lonestarexil detjoelocu odmp woundedblu bluefamilypray natpoliceassoc woundedbluedoc ltrandysutton,About the police - Positive
 life chicago never hilari good enough camilla polic offic world turn,About the police - Positive
 detroit milliondollar system afford polic abil scan live video camera locat everywher,About the police - Positive
 4 teen indict feder charg carjack offduti chicago polic detect edgewat,About the police - Neutral
 view fraud northern il dist court 13cv2621 lawsuit complaint doc 28 comparison judg order doc 48 chica,Not about the police
